State,Notes,Program Name,Plan Name,Geographic Region,Medicaid-Only Enrollment ,Dual Enrollment,Total Enrollment,Year,Location,Parent Organization
Rhode Island,,Rhody Health Partners (Comprehensive MCO),Neighborhood Health Plan of Rhode Island,Statewide,7281,0,7281,2017,"Rhode Island
(41.572574, -71.534637)",Neighborhood Health Plan of Rhode Island
Maine,,NET (Non-Emergency Medical Transportation),MidCoast Connector,Region 5,20123,4948,25071,2017,"Maine
(45.117911, -69.06137)",MidCoast Connector
Arizona,,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),DES/Division of Developmental Disabilities (MLTSS),Statewide,23897,6827,30724,2017,"Arizona
(34.293239, -111.664616)",Government Agency/Non-Profit Entity
California,,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Care 1st Healthplan/San Diego,San Diego County,71068,14133,85201,2017,"California
(37.211164, -119.662127)",Blue Shield of California
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),Advantage Dental Services,Statewide except Tillamook County,16877,4073,20950,2017,"Oregon
(43.940449, -120.605279)",Advantage Dental Services
Rhode Island,,RIte Care (Comprehensive MCO),Neighborhood Health Plan of Rhode Island,Statewide,111807,0,111807,2017,"Rhode Island
(41.572574, -71.534637)",Neighborhood Health Plan of Rhode Island
Georgia,,Planning for Healthy Babies (Other Prepaid Health Plan (PHP) (limited benefits)),Peach State Health Plan,Statewide,3464,0,3464,2017,"Georgia
(32.638481, -83.426574)",Centene
Wisconsin,,BadgerCare Plus (Comprehensive MCO),Network Health Plan,"Counties: Ashland, Bayfield, Brown, Calumet, Chippewa, Clark, Crawford, Dodge, Door, Douglas, Eau Claire, Fond du Lac, Forest, Green Lake, Iron, Jefferson, Kenosha, Kewaunee, Langlade, Lincoln, Manitowoc, Marathon, Marinette, Marquette, Menominee, Milwaukee,  Oconto, Oneida, Outagamie, Ozaukee, Polk, Portage, Price, Racine, Rock, Rusk, Sawyer,  Shawano, Sheboygan, Taylor, Vilas, Walworth, Washburn, Waukesha, Waupaca, Waushara, Winnebago, Wood",32121,36,32157,2017,"Wisconsin
(44.639954, -89.732969)",Network Health Plan
California,,Regional Model (Comprehensive MCO),California Health & Wellness/Calaveras,Calaveras County,5534,203,5737,2017,"California
(37.211164, -119.662127)",Centene Corporation
Alabama,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Mercy Life of Alabama,Mobile and Baldwin Counties,19,153,172,2017,"Alabama
(32.756889, -86.844516)",Trinity Health
Iowa,,IA Healthlink (Comprehensive MCO + MLTSS),"UnitedHealthcare of the River Valley, Inc.",Statewide,150464,13862,164326,2017,"Iowa
(42.074659, -93.500061)","UnitedHealthcare, Inc."
Wisconsin,,SSI Managed Care (Comprehensive MCO),Group Health Cooperative Of Eau Claire,"Counties: Ashland, Buffalo, Chippewa, Columbia, Crawford, Douglas, Eau Claire, Forest, Grant, Green, Iowa, Iron, Jackson, Juneau, La Crosse, Lafayette, Langlade, Lincoln, Marathon, Oneida, Pepin, Polk, Portage, Price, Richland, Shawano, Trempealeau, Vernon, Vilas, Washburn, Wood",1309,563,1872,2017,"Wisconsin
(44.639954, -89.732969)",Group Health Cooperative Of Eau Claire
Washington9,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.",Fully Integrated Managed Care (FIMC) (Comprehensive MCO),Molina Health Care,Clark and Skamania Counties,89731,0,89731,2017,,Molina
Missouri,,MO Healthnet Managed Care/1915b (Comprehensive MCO),United Healthcare Eastern,"Franklin, Jefferson, Lincoln, Madison, Perry, Pike, St Charles, St Francois, Ste Genevieve, St Louis Co, Warren, Washington, and St Louis City",46024,0,46024,2017,"Missouri
(38.3675, -92.477244)",United Healthcare
Hawaii,"Beneficiaries can simultaneously enroll in Ohana Community Care Service (BHS) and another medical or dental plan under the Quest program. The de-duplicated total enrollment comprehensive MCOs is 360,905.",Hawaii QUEST Integration (Comprehensive MCO + MLTSS),AlohaCare ABD,Statewide,2540,2630,5170,2017,"Hawaii
(21.361013, -157.854309)",AlohaCare
Illinois,,Managed Long Term Services and Supports (MLTSS only (PIHP and/or PAHP)),Aetna Better Health,"Cook, DuPage, Kane, Will and Kankakee counties",0,7348,7348,2017,"Illinois
(40.124144, -89.148632)",Aetna
Minnesota,,Minnesota Senior Health Option (MSHO) (Comprehensive MCO + MLTSS),South Country Health,"Brown, Dodge, Freeborn, Kanabec, Morrison, Sibley, Steele, Todd, Wabasha, Wadena, and Waseca County",0,1719,1719,2017,"Minnesota
(46.349153, -94.198308)",South Country Health Alliance
Washington,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.",Washington State Integrated Community Mental Health Program (ICMH) (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),BHO,Statewide,1814599,0,1814599,2017,"Washington
(47.411715, -120.592492)",Behavioral Health Organization of Washington
Maine,,MaineCare (Primary Care Case Management (PCCM)),Multiple Primary Care Providers,Statewide,147296,0,147296,2017,"Maine
(45.117911, -69.06137)",Multiple Primary Care Providers
North Dakota,,PACE (Program of All-inclusive Care for the Elderly (PACE)),PACE,"58501, 58502, 58503 (Bismarck), 58504 (Lincoln), 58554 (Mandan), 58558 (Menoken), 58601, 58602 (Dickinson), 58652 (Richardton), 58655 (South Heart), 58656 (Taylor), 58701, 58702, 58703, 58722, 58785 (Minot)",5,152,157,2017,"North Dakota
(47.446305, -100.46931)",PACE
Wisconsin,,Family Care (MLTSS only (PIHP and/or PAHP)),CommunityLink (became Inclusa in September 2017),"Counties: Ashland, Barron, Bayfield, Buffalo, Burnett, Chippewa, Clark, Columbia, Crawford, Dodge, Douglas, Dunn, Eau Claire, Florence, Forest, Grant, Green, Green Lake, Iowa, Iron, Jackson, Jefferson, Juneau, La Crosse, Lafayette, Langlade, Lincoln, Marathon, Marquette, Monroe, Oneida, Pepin, Pierce, Polk, Portage, Price, Richland, Rock, Rusk, Sauk, Sawyer, St. Croix, Trempealeau, Vernon, Vilas, Washington, Waukesha, Washburn, Waushara, Wood",2058,13435,15493,2017,"Wisconsin
(44.639954, -89.732969)",CommunityLink (became Inclusa in September 2017)
Colorado,"Colorado reported plan level enrollment as 30 for plans that had less than 30 beneficiaires. As a result, plan level enrollment for the Total Longterm Care - Pueblo DBA Innovage Greater Colorado PACE plan and the Volunteers of America (VOANS) PACE DBA Senior Community Care plan may be slightly inflated.",Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),Total Longterm Care - Pueblo DBA Innovage Greater Colorado PACE,Pueblo County,30,315,336,2017,"Colorado
(38.998552, -105.547832)","Total Community Options, Inc."
South Carolina,,South Carolina Managed Care Organizations (Comprehensive MCO),"First Choice, by Select Health",Statewide,359040,0,359040,2017,"South Carolina
(33.878572, -80.864614)",Select Health of South Carolina
California,,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Molina Healthcare/Sacramento,Sacramento County,56437,3925,60362,2017,"California
(37.211164, -119.662127)",Molina Healthcare
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),Eastern Oregon CCO,"Baker, Gilliam, Grant, Harney, Lake, Malheur, Morrow, Sherman, Umatilla, Union, Wallowa, and Wheeler Counties",46009,1597,47606,2017,"Oregon
(43.940449, -120.605279)",Eastern Oregon CCO
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),HealthShare of Oregon,"Clackamas, Multnomah, and Washington Counties",190202,16249,206451,2017,"Oregon
(43.940449, -120.605279)",HealthShare of Oregon
Nevada,,Mandatory Health Maintenance Program (Comprehensive MCO),Amerigroup Community Care (AGP),Urban zipcodes in Wahsoe and Clark Counties.,182750,0,182750,2017,"Nevada
(39.283294, -114.916992)",Anthem
Illinois,,Managed Long Term Services and Supports (MLTSS only (PIHP and/or PAHP)),IlliniCare Health Plan,"Lake, Kane, DuPage, Cook, Will and Kankakee counties",0,5563,5563,2017,"Illinois
(40.124144, -89.148632)",Centene Corporation
Michigan,,MI Choice (MLTSS only (PIHP and/or PAHP)),Region 4 Area Agency on Aging,"Berrien, Cass, Van Buren",23,410,433,2017,"Michigan
(44.874798, -85.730977)",Area Agencies on Aging
California,,Two-Plan Model (Comprehensive MCO + MLTSS),Contra Costa Health Plan,Contra Costa County,173601,10273,183874,2017,"California
(37.211164, -119.662127)",Contra Costa Health Plan
Rhode Island,,Rhody Health Partners (Comprehensive MCO),UnitedHealthcare Community Health Plan of Rhode Island,Statewide,7497,0,7497,2017,"Rhode Island
(41.572574, -71.534637)",UnitedHealthcare
Idaho,,Idaho Smiles (Dental only (PAHP)),MCNA Dental,Statewide,265991,24472,290463,2017,"Idaho
(44.389073, -114.659366)","MCNA (Managed Care of North America, Inc.)"
Michigan,,MI Choice (MLTSS only (PIHP and/or PAHP)),Area Agency on Aging 1-B,"Livingston, Macomb, Monroe, Oakland, Washtenaw",37,788,825,2017,"Michigan
(44.874798, -85.730977)",Area Agencies on Aging
Texas,,Children's Medicaid Dental Services (Dental only (PAHP)),MCNA Dental,Statewide,1263928,0,1263928,2017,"Texas
(31.447238, -99.317341)",MCNA Dental
Washington,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.","Apple Health (Program includes, AHAC, CHIP,HOFC, HO) (Comprehensive MCO)",Community Health Plan of Washington,"Adams, Asotin, Benton, Chelan, Clark, Columbia, Cowlitz, Douglas, Ferry, Franklin,  Grant, Grays Harbor, Island, Jefferson, King, Kitsap, Kittitas, Klickitat, Lewis, Lincoln, Mason, Okanogan, Pacific, Pend Oreille, Pierce, San Juan, Skagit, Skamania, Snohomish, Spokane, Stevens, Thurston, Wahkiakum, Walla Walla, Whatcom, Whitman, Yakima.",253393,0,253393,2017,"Washington
(47.411715, -120.592492)",Community Health Plan of Washington
California,,Two-Plan Model (Comprehensive MCO + MLTSS),Anthem Blue Cross Partnership Plan/Fresno,Fresno County,108719,3778,112497,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Michigan,,Healthy Michigan Plan (Comprehensive MCO),Upper Peninsula Health Plan,"Alger, Baraga, Chippewa, Delta, Dickinson, Gogebic, Houghton, Iron, Keweenaw, Luce, Mackinac, Marquette, Menominee, Ontonagon, Schoolcraft",15989,0,15989,2017,"Michigan
(44.874798, -85.730977)",Upper Peninsula Health Plan
New York,,Health and Recovery Plans (Comprehensive MCO),MetroPlus,New York City,9724,0,9724,2017,"New York
(42.921241, -75.59655)",MetroPlus
Florida,,Managed Medical Assistance Program (Comprehensive MCO),"United Healthcare of Florida, Inc.","Regions 3, 4, 7, and 11",255868,15018,270886,2017,"Florida
(28.260731, -82.420978)",United Healthcare
California,,County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS),Partnership HealthPlan of CA/Del Norte,Del Norte County,9860,1568,11428,2017,"California
(37.211164, -119.662127)",Partnership HealthPlan of California
Rhode Island,,RIte Care (Comprehensive MCO),UnitedHealthcare Community Plan of Rhode Island,Statewide,56511,0,56511,2017,"Rhode Island
(41.572574, -71.534637)",UnitedHealthcare
Tennessee,"Beneficiaries can simultaneously enroll in (1) Magellan Health services, (2) DentaQuest USA Insurance Company, and (3) another comprehensive MCO. The de-duplicated total enrollment in comprehensive MCOs is 1,409,266.",TennCare II (Comprehensive MCO + MLTSS),Volunteer State Health Plan (TennCare Select),Statewide,63210,2541,65751,2017,"Tennessee
(35.842998, -86.343226)",Blue Cross Blue Shield Association
Michigan,,Healthy Michigan Plan (Comprehensive MCO),UnitedHealthcare Community Plan,"Alcona, Allegan, Alpena, Antrim, Arenac, Barry, Bay, Benzie, Berrien, Branch, Calhoun, Cass, Charlevoix, Cheboygan, Clare, Crawford, Emmet, Genesee, Gladwin, Grand Traverse, Gratiot, Hillsdale, Huron, Ionia, Iosco, Isabella, Jackson, Kalamazoo, Kalkaska, Kent, Lake, Lapeer, Leelanau, Lenawee, Livingston, Macomb, Manistee, Mason, Mecosta, Midland, Missaukee, Monroe, Montcalm, Montmorency, Muskegon, Newaygo, Oakland, Oceana, Ogemaw, Osceola, Oscoda, Otsego, Ottawa, Presque Isle, Roscommon, Saginaw, St. Clair, St. Joseph, Sanilac, Shiawassee, Tuscola, VanBuren, Washtenaw, Wayne, Wexford",67535,0,67535,2017,"Michigan
(44.874798, -85.730977)",UnitedHealthcare
California,,Senior Action Care Network (SCAN) (Comprehensive MCO + MLTSS),SCAN Health Plan/Los Angeles,Los Angeles County,0,7274,7274,2017,"California
(37.211164, -119.662127)",SCAN Health Plan
Arizona,,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Maricopa Health Plan,Maricopa County,0,0,0,2017,"Arizona
(34.293239, -111.664616)",Government Agency/Non-Profit Entity
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),North Central State Option,"Bradford, Cameron, Centre, Clarion, Clearfield, Columbia, Elk, Forest, Huntingdon, Jefferson, Juniata, McKean, Mifflin, Montour, Northumberland, Potter, Schuylkill, Snyder, Sullivan, Tioga, Union, Warren, Wayne counties",176582,25656,202238,2017,"Pennsylvania
(40.896694, -77.838886)",Community Care Behavioral Health Organization
Wisconsin,,BadgerCare Plus (Comprehensive MCO),Group Health Cooperative Of Eau Claire,"Counties: Adams, Ashland, Barron, Bayfield, Buffalo, Burnett, Chippewa, Clark, Columbia, Crawford, Douglas, Dunn, Eau Claire, Forest, Grant, Green, Iowa, Iron, Jackson, Juneau, La Crosse, Lafayette, Langlade, Lincoln, Marathon, Monroe, Oneida, Pepin, Pierce, Polk, Portage, Price, Rusk, St. Croix, Sawyer, Shawano, Taylor, Trempealeau, Vernon, Vilas, Washburn, Wood",39555,59,39614,2017,"Wisconsin
(44.639954, -89.732969)",Group Health Cooperative Of Eau Claire
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),United HealthCare,"New York City & Albany, Broome, Erie, Monroe, Oneida, Onondaga counties",148,2962,3110,2017,"New York
(42.921241, -75.59655)",United HealthCare
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Behavioral Health Services of Bedford and Somerset,Bedford and Somerset counties,20394,3185,23579,2017,"Pennsylvania
(40.896694, -77.838886)",PerformCare
Iowa,,IA Healthlink (Comprehensive MCO + MLTSS),"Amerigroup of Iowa, Inc.",Statewide,168031,16120,184151,2017,"Iowa
(42.074659, -93.500061)","Anthem, Inc."
Massachusetts,,Senior Care Options (Comprehensive MCO + MLTSS),Tufts Health Plan,"Barnstable, Bristol, Essex, Hampden, Middlesex, Norfolk, Plymouth, Suffolk, and Worcester Counties",53,465,518,2017,"Massachusetts
(42.151077, -71.481104)",Tufts Health Plan
Nebraska,,Heritage Health (Comprehensive MCO),Nebraska Total Care,Statewide,67629,14381,82010,2017,"Nebraska
(41.527099, -99.810595)",Nebraska Total Care Inc.
Puerto Rico,,Medicare Platino (Comprehensive MCO),"MCS Advantage, Inc.",Statewide,0,103740,103740,2017,"Puerto Rico
(18.215692, -66.414655)","MCS Advantage, Inc."
Arizona,,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),University Family Care,"Cochise, Gila, Graham, Greenlee, LaPaz, Pima, Pinal, S Cruz, Yavapai & Yuma Counties",125463,10151,135614,2017,"Arizona
(34.293239, -111.664616)",Banner Health
California,,County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS),Partnership HealthPlan of CA/Humboldt,Humboldt County,46221,5941,52162,2017,"California
(37.211164, -119.662127)",Partnership HealthPlan of California
California,,Dental Managed Care/Sacramento (Dental only (PAHP)),LIBERTY Dental Plan/Sacramento,Sacramento County,155297,7184,162481,2017,"California
(37.211164, -119.662127)",LIBERTY Dental Plan
Louisiana,,Healthy Louisiana BHO (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Louisiana Healthcare Connections,Statewide,2862,22098,24960,2017,"Louisiana
(30.921314, -91.840238)",Centene
